protein_name,organism,n_samples,regression_metrics,classification_metrics,mcc_difference,accuracy_difference,f1_difference,better_model,mcc_improvement
HSD11B1,rat,67,"{'mcc': 0.6674475385240917, 'accuracy': 0.8507462686567164, 'precision': 0.8269230769230769, 'recall': 0.9772727272727273, 'f1': 0.8958333333333334, 'specificity': 0.6086956521739131, 'confusion_matrix': [[14, 9], [1, 43]], 'true_negatives': 14, 'false_positives': 9, 'false_negatives': 1, 'true_positives': 43}","{'mcc': 0.7747067206264588, 'accuracy': 0.8955223880597015, 'precision': 0.8627450980392157, 'recall': 1.0, 'f1': 0.9263157894736842, 'specificity': 0.6956521739130435, 'confusion_matrix': [[16, 7], [0, 44]], 'true_negatives': 16, 'false_positives': 7, 'false_negatives': 0, 'true_positives': 44}",0.10725918210236718,0.04477611940298509,0.030482456140350833,classification,0.10725918210236718
HTR2B,rat,35,"{'mcc': -0.15309310892394862, 'accuracy': 0.7142857142857143, 'precision': 0.78125, 'recall': 0.8928571428571429, 'f1': 0.8333333333333334, 'specificity': 0.0, 'confusion_matrix': [[0, 7], [3, 25]], 'true_negatives': 0, 'false_positives': 7, 'false_negatives': 3, 'true_positives': 25}","{'mcc': 0.15161960871578067, 'accuracy': 0.7428571428571429, 'precision': 0.8275862068965517, 'recall': 0.8571428571428571, 'f1': 0.8421052631578947, 'specificity': 0.2857142857142857, 'confusion_matrix': [[2, 5], [4, 24]], 'true_negatives': 2, 'false_positives': 5, 'false_negatives': 4, 'true_positives': 24}",0.3047127176397293,0.02857142857142858,0.00877192982456132,classification,0.3047127176397293
SLC6A4,rat,1995,"{'mcc': 0.6660805395533076, 'accuracy': 0.8340852130325814, 'precision': 0.8254385964912281, 'recall': 0.8769804287045666, 'f1': 0.850429281518301, 'specificity': 0.7841648590021691, 'confusion_matrix': [[723, 199], [132, 941]], 'true_negatives': 723, 'false_positives': 199, 'false_negatives': 132, 'true_positives': 941}","{'mcc': 0.6684905739831128, 'accuracy': 0.8335839598997494, 'precision': 0.8644578313253012, 'recall': 0.8137996219281664, 'f1': 0.8383641674780915, 'specificity': 0.855923159018143, 'confusion_matrix': [[802, 135], [197, 861]], 'true_negatives': 802, 'false_positives': 135, 'false_negatives': 197, 'true_positives': 861}",0.0024100344298052523,-0.0005012531328320025,-0.01206511404020949,classification,0.0024100344298052523
SLC6A3,rat,1114,"{'mcc': 0.6822433991425156, 'accuracy': 0.8447037701974865, 'precision': 0.8329718004338394, 'recall': 0.8, 'f1': 0.8161530286928799, 'specificity': 0.8785488958990536, 'confusion_matrix': [[557, 77], [96, 384]], 'true_negatives': 557, 'false_positives': 77, 'false_negatives': 96, 'true_positives': 384}","{'mcc': 0.6407086009804294, 'accuracy': 0.8240574506283662, 'precision': 0.7928870292887029, 'recall': 0.7962184873949579, 'f1': 0.7945492662473794, 'specificity': 0.8448275862068966, 'confusion_matrix': [[539, 99], [97, 379]], 'true_negatives': 539, 'false_positives': 99, 'false_negatives': 97, 'true_positives': 379}",-0.04153479816208627,-0.02064631956912033,-0.02160376244550044,regression,0.04153479816208627
ADRA1A,rat,146,"{'mcc': 0.7052714789913107, 'accuracy': 0.8698630136986302, 'precision': 0.8666666666666667, 'recall': 0.9479166666666666, 'f1': 0.9054726368159204, 'specificity': 0.72, 'confusion_matrix': [[36, 14], [5, 91]], 'true_negatives': 36, 'false_positives': 14, 'false_negatives': 5, 'true_positives': 91}","{'mcc': 0.8016248501074037, 'accuracy': 0.910958904109589, 'precision': 0.8952380952380953, 'recall': 0.9791666666666666, 'f1': 0.9353233830845771, 'specificity': 0.78, 'confusion_matrix': [[39, 11], [2, 94]], 'true_negatives': 39, 'false_positives': 11, 'false_negatives': 2, 'true_positives': 94}",0.09635337111609299,0.041095890410958846,0.02985074626865669,classification,0.09635337111609299
ADRA2A,rat,39,"{'mcc': 0.6148873228105182, 'accuracy': 0.8205128205128205, 'precision': 0.8333333333333334, 'recall': 0.6666666666666666, 'f1': 0.7407407407407407, 'specificity': 0.9166666666666666, 'confusion_matrix': [[22, 2], [5, 10]], 'true_negatives': 22, 'false_positives': 2, 'false_negatives': 5, 'true_positives': 10}","{'mcc': 0.6357084917461994, 'accuracy': 0.8205128205128205, 'precision': 0.7058823529411765, 'recall': 0.8571428571428571, 'f1': 0.7741935483870968, 'specificity': 0.8, 'confusion_matrix': [[20, 5], [2, 12]], 'true_negatives': 20, 'false_positives': 5, 'false_negatives': 2, 'true_positives': 12}",0.0208211689356812,0.0,0.03345280764635605,classification,0.0208211689356812
ADRB1,rat,53,"{'mcc': 0.7122423397117059, 'accuracy': 0.8679245283018868, 'precision': 0.9285714285714286, 'recall': 0.6842105263157895, 'f1': 0.7878787878787878, 'specificity': 0.9705882352941176, 'confusion_matrix': [[33, 1], [6, 13]], 'true_negatives': 33, 'false_positives': 1, 'false_negatives': 6, 'true_positives': 13}","{'mcc': 0.4111111111111111, 'accuracy': 0.7358490566037735, 'precision': 0.6111111111111112, 'recall': 0.6111111111111112, 'f1': 0.6111111111111112, 'specificity': 0.8, 'confusion_matrix': [[28, 7], [7, 11]], 'true_negatives': 28, 'false_positives': 7, 'false_negatives': 7, 'true_positives': 11}",-0.3011312286005948,-0.1320754716981133,-0.17676767676767668,regression,0.3011312286005948
CNR2,rat,194,"{'mcc': 0.5540717267034054, 'accuracy': 0.8298969072164949, 'precision': 0.8397435897435898, 'recall': 0.9424460431654677, 'f1': 0.888135593220339, 'specificity': 0.5454545454545454, 'confusion_matrix': [[30, 25], [8, 131]], 'true_negatives': 30, 'false_positives': 25, 'false_negatives': 8, 'true_positives': 131}","{'mcc': 0.5480106345400115, 'accuracy': 0.8195876288659794, 'precision': 0.8493150684931506, 'recall': 0.9051094890510949, 'f1': 0.8763250883392226, 'specificity': 0.6140350877192983, 'confusion_matrix': [[35, 22], [13, 124]], 'true_negatives': 35, 'false_positives': 22, 'false_negatives': 13, 'true_positives': 124}",-0.0060610921633939,-0.010309278350515538,-0.011810504881116346,regression,0.0060610921633939
CHRM1,rat,261,"{'mcc': 0.7941829520617333, 'accuracy': 0.9042145593869731, 'precision': 0.826530612244898, 'recall': 0.9101123595505618, 'f1': 0.8663101604278075, 'specificity': 0.9011627906976745, 'confusion_matrix': [[155, 17], [8, 81]], 'true_negatives': 155, 'false_positives': 17, 'false_negatives': 8, 'true_positives': 81}","{'mcc': 0.8193918804458422, 'accuracy': 0.9157088122605364, 'precision': 0.8367346938775511, 'recall': 0.9318181818181818, 'f1': 0.8817204301075269, 'specificity': 0.9075144508670521, 'confusion_matrix': [[157, 16], [6, 82]], 'true_negatives': 157, 'false_positives': 16, 'false_negatives': 6, 'true_positives': 82}",0.02520892838410893,0.011494252873563204,0.015410269679719368,classification,0.02520892838410893
CHRM2,rat,130,"{'mcc': 0.6465087898403734, 'accuracy': 0.823076923076923, 'precision': 0.8115942028985508, 'recall': 0.8484848484848485, 'f1': 0.8296296296296296, 'specificity': 0.796875, 'confusion_matrix': [[51, 13], [10, 56]], 'true_negatives': 51, 'false_positives': 13, 'false_negatives': 10, 'true_positives': 56}","{'mcc': 0.6307692307692307, 'accuracy': 0.8153846153846154, 'precision': 0.8153846153846154, 'recall': 0.8153846153846154, 'f1': 0.8153846153846154, 'specificity': 0.8153846153846154, 'confusion_matrix': [[53, 12], [12, 53]], 'true_negatives': 53, 'false_positives': 12, 'false_negatives': 12, 'true_positives': 53}",-0.01573955907114266,-0.007692307692307665,-0.014245014245014231,regression,0.01573955907114266
CHRM3,rat,93,"{'mcc': 0.43209476084875315, 'accuracy': 0.8494623655913979, 'precision': 0.8588235294117647, 'recall': 0.9733333333333334, 'f1': 0.9125, 'specificity': 0.3333333333333333, 'confusion_matrix': [[6, 12], [2, 73]], 'true_negatives': 6, 'false_positives': 12, 'false_negatives': 2, 'true_positives': 73}","{'mcc': 0.45115237064484276, 'accuracy': 0.8387096774193549, 'precision': 0.8846153846153846, 'recall': 0.92, 'f1': 0.9019607843137255, 'specificity': 0.5, 'confusion_matrix': [[9, 9], [6, 69]], 'true_negatives': 9, 'false_positives': 9, 'false_negatives': 6, 'true_positives': 69}",0.019057609796089614,-0.010752688172043001,-0.010539215686274472,classification,0.019057609796089614
CHRNA7,rat,1018,"{'mcc': 0.6058676980348113, 'accuracy': 0.806483300589391, 'precision': 0.7720090293453724, 'recall': 0.7808219178082192, 'f1': 0.7763904653802497, 'specificity': 0.8258620689655173, 'confusion_matrix': [[479, 101], [96, 342]], 'true_negatives': 479, 'false_positives': 101, 'false_negatives': 96, 'true_positives': 342}","{'mcc': 0.5794313058466813, 'accuracy': 0.7888015717092338, 'precision': 0.7215447154471545, 'recall': 0.8198614318706697, 'f1': 0.7675675675675676, 'specificity': 0.7658119658119659, 'confusion_matrix': [[448, 137], [78, 355]], 'true_negatives': 448, 'false_positives': 137, 'false_negatives': 78, 'true_positives': 355}",-0.026436392188129987,-0.017681728880157177,-0.008822897812682085,regression,0.026436392188129987
