protein_id,n_samples,std_r2_mean,std_r2_std,04_r2_mean,04_r2_std,difference,std_scores,04_scores
Q4U254,31,-0.06843632247505067,0.38263046467863204,-0.14313593723836568,0.4960551970853639,-0.074699614763315,"[0.3631212716905905, -0.0015003499777312967, -0.5669298891380112]","[0.4161462026417535, -0.056022656363830414, -0.7895313579930201]"
P26433,38,0.07128591509960396,0.3256699613275935,0.002827631677680076,0.4248721099174297,-0.06845828342192388,"[0.5172274332215089, -0.05196770712909471, -0.2514019807936023]","[0.5547062518422865, -0.06732791779062275, -0.4788954390186235]"
P43253,44,-0.030330645123690953,0.12880815531267142,-0.09609625483926636,0.1960994672498842,-0.06576560971557541,"[0.06872322192660729, 0.05253788909596724, -0.2122530463936474]","[0.03914974013510941, 0.045956431089806404, -0.3733949357427149]"
P80365,42,-0.03234061688168218,0.27781508010365413,-0.0939503893758256,0.3073581789367963,-0.06160977249414342,"[-0.2646034173067551, -0.19064012191403013, 0.35822168857573866]","[-0.32201085861068, -0.30038059228275027, 0.3405402827659535]"
Q59401,33,-0.10341731595912917,0.052199420336106486,-0.15798657191351104,0.06801035925487392,-0.05456925595438186,"[-0.02979020458901016, -0.1448628883332086, -0.13559885495516877]","[-0.06466059011412173, -0.2247942715440503, -0.18450485408236106]"
Q92934,30,-0.7617156522916151,0.461733447064859,-0.8144765443317311,0.5706942342372229,-0.052760892040116025,"[-0.6488098187225848, -0.2611803566630153, -1.3751567814892454]","[-0.6133999209381948, -0.2380997896199386, -1.5919299224370596]"
P39086,77,-0.014875065722047665,0.20110651493622164,-0.06648301311680949,0.20817152988818902,-0.05160794739476182,"[-0.07647815533599944, 0.2563834191744184, -0.22453046100456198]","[-0.19411909040247122, 0.2270845687580596, -0.23241451770601684]"
P48163,34,0.35599321575665677,0.27585936494526764,0.30500178308698517,0.2367510907751628,-0.0509914326696716,"[-0.020945912414435774, 0.6315561440109045, 0.45736941567350153]","[-0.020186076540135822, 0.5366338214942271, 0.39855760430686415]"
Q96PY6,72,-0.28644496028491,0.1307682815229062,-0.33718260160096075,0.15871181414648058,-0.05073764131605074,"[-0.24785716235587296, -0.46237139599362465, -0.14910632250523248]","[-0.34335280997236195, -0.5284055166038428, -0.13978947822667753]"
P54756,65,-0.5462447616177718,0.5178976976536547,-0.5956156992708382,0.6318802653290607,-0.04937093765306644,"[-1.2644541910726224, -0.06280803398120893, -0.311472059799484]","[-1.479186013738218, -0.03812994086110488, -0.2695311432131917]"
P31939,32,0.36955619517023436,0.4051633324172063,0.32037245255628244,0.42271062990274255,-0.04918374261395192,"[0.7253633451471808, -0.1973036021904815, 0.5806088425540037]","[0.6867494976718497, -0.271903237434616, 0.5462710974316136]"
Q9C098,58,-0.0661662301790803,0.1958425286340391,-0.1151111403266973,0.2681199538687797,-0.048944910147616996,"[-0.10536926937580215, -0.2840068831637861, 0.19087746200234734]","[-0.09407603477512083, -0.4535015461182854, 0.20224415991331435]"
P9WIA1,46,0.15468734223216699,0.14644748742000613,0.10618910228169598,0.1396185910534228,-0.048498239950471006,"[0.025366049017272685, 0.3594454627582033, 0.07925051492102497]","[0.012881401789662461, 0.30354225983627703, 0.002143645219148449]"
P31651,39,-0.6547700480078967,0.4586109786967468,-0.702346923894844,0.5175817494805833,-0.047576875886947256,"[-0.5583227654231975, -0.14755738698169774, -1.258429991618795]","[-0.5378258679851033, -0.1669215140829312, -1.402293389616497]"
Q9JJJ7,44,-0.02450355892661993,0.41674298901164386,-0.06981805521096873,0.49137252590429276,-0.045314496284348804,"[0.2792149599655982, -0.6137738085146969, 0.2610481717692389]","[0.3171108158541526, -0.7631674528823702, 0.23660247139531143]"
