protein,n_samples,n_active,n_inactive,fold,accuracy,precision,recall,f1_score,n_train,n_test,n_train_active,n_train_inactive,n_test_active,n_test_inactive
SCN5A,329,26,303,5.0,0.8461538461538461,0.0,0.0,0.0,264.0,65.0,18.0,246.0,8.0,57.0
CACNB1,0,0,0,,,,,,,,,,,
CAV1,0,0,0,,,,,,,,,,,
HTR2B,1214,707,507,1.0,0.7325102880658436,0.75625,0.8231292517006803,0.7882736156351792,971.0,243.0,560.0,411.0,147.0,96.0
HTR2B,1214,707,507,2.0,0.7489711934156379,0.7321428571428571,0.8848920863309353,0.8013029315960912,971.0,243.0,568.0,403.0,139.0,104.0
HTR2B,1214,707,507,3.0,0.7160493827160493,0.7181208053691275,0.7985074626865671,0.7561837455830389,971.0,243.0,573.0,398.0,134.0,109.0
HTR2B,1214,707,507,4.0,0.720164609053498,0.7785234899328859,0.7682119205298014,0.7733333333333333,971.0,243.0,556.0,415.0,151.0,92.0
HTR2B,1214,707,507,5.0,0.6859504132231405,0.6973684210526315,0.7794117647058824,0.7361111111111112,972.0,242.0,571.0,401.0,136.0,106.0
SLC6A4,4958,3439,1519,1.0,0.8608870967741935,0.8956884561891516,0.9108910891089109,0.9032258064516129,3966.0,992.0,2732.0,1234.0,707.0,285.0
SLC6A4,4958,3439,1519,2.0,0.8397177419354839,0.8577348066298343,0.9172821270310192,0.8865096359743041,3966.0,992.0,2762.0,1204.0,677.0,315.0
SLC6A4,4958,3439,1519,3.0,0.8508064516129032,0.8863955119214586,0.9041487839771102,0.8951841359773371,3966.0,992.0,2740.0,1226.0,699.0,293.0
SLC6A4,4958,3439,1519,4.0,0.8446014127144299,0.8663911845730028,0.9169096209912536,0.8909348441926346,3967.0,991.0,2753.0,1214.0,686.0,305.0
SLC6A4,4958,3439,1519,5.0,0.863773965691221,0.8669410150891632,0.9432835820895522,0.9035025017869907,3967.0,991.0,2769.0,1198.0,670.0,321.0
DIDO1,0,0,0,,,,,,,,,,,
SLC6A3,2766,1401,1365,1.0,0.7996389891696751,0.768976897689769,0.8503649635036497,0.8076256499133448,2212.0,554.0,1127.0,1085.0,274.0,280.0
SLC6A3,2766,1401,1365,2.0,0.833634719710669,0.8120805369127517,0.8705035971223022,0.8402777777777778,2213.0,553.0,1123.0,1090.0,278.0,275.0
SLC6A3,2766,1401,1365,3.0,0.8119349005424955,0.8047138047138047,0.8385964912280702,0.8213058419243986,2213.0,553.0,1116.0,1097.0,285.0,268.0
SLC6A3,2766,1401,1365,4.0,0.8245931283905967,0.8191489361702128,0.8339350180505415,0.8264758497316637,2213.0,553.0,1124.0,1089.0,277.0,276.0
SLC6A3,2766,1401,1365,5.0,0.8390596745027125,0.839041095890411,0.8536585365853658,0.846286701208981,2213.0,553.0,1114.0,1099.0,287.0,266.0
SLC6A2,2022,1248,774,1.0,0.8395061728395061,0.8479087452471483,0.8991935483870968,0.87279843444227,1617.0,405.0,1000.0,617.0,248.0,157.0
SLC6A2,2022,1248,774,2.0,0.8419753086419753,0.8517110266159695,0.8995983935742972,0.875,1617.0,405.0,999.0,618.0,249.0,156.0
SLC6A2,2022,1248,774,3.0,0.8242574257425742,0.8037037037037037,0.9234042553191489,0.8594059405940594,1618.0,404.0,1013.0,605.0,235.0,169.0
SLC6A2,2022,1248,774,4.0,0.8589108910891089,0.8725868725868726,0.904,0.888015717092338,1618.0,404.0,998.0,620.0,250.0,154.0
SLC6A2,2022,1248,774,5.0,0.8094059405940595,0.8436363636363636,0.8721804511278195,0.8576709796672828,1618.0,404.0,982.0,636.0,266.0,138.0
NAT8,0,0,0,,,,,,,,,,,
ADRA1A,711,567,144,1.0,0.8391608391608392,0.8666666666666667,0.9369369369369369,0.9004329004329005,568.0,143.0,456.0,112.0,111.0,32.0
ADRA1A,711,567,144,2.0,0.8802816901408451,0.9047619047619048,0.957983193277311,0.9306122448979591,569.0,142.0,448.0,121.0,119.0,23.0
ADRA1A,711,567,144,3.0,0.8873239436619719,0.8914728682170543,0.9829059829059829,0.9349593495934959,569.0,142.0,450.0,119.0,117.0,25.0
ADRA1A,711,567,144,4.0,0.8802816901408451,0.8852459016393442,0.972972972972973,0.927038626609442,569.0,142.0,456.0,113.0,111.0,31.0
ADRA1A,711,567,144,5.0,0.8450704225352113,0.8849557522123894,0.9174311926605505,0.9009009009009009,569.0,142.0,458.0,111.0,109.0,33.0
ADRA2A,565,318,247,1.0,0.8584070796460177,0.875,0.875,0.875,452.0,113.0,254.0,198.0,64.0,49.0
ADRA2A,565,318,247,2.0,0.9203539823008849,0.9384615384615385,0.9242424242424242,0.9312977099236641,452.0,113.0,252.0,200.0,66.0,47.0
ADRA2A,565,318,247,3.0,0.7787610619469026,0.7794117647058824,0.8412698412698413,0.8091603053435115,452.0,113.0,255.0,197.0,63.0,50.0
ADRA2A,565,318,247,4.0,0.8584070796460177,0.8695652173913043,0.8955223880597015,0.8823529411764706,452.0,113.0,251.0,201.0,67.0,46.0
ADRA2A,565,318,247,5.0,0.8230088495575221,0.8166666666666667,0.8448275862068966,0.8305084745762712,452.0,113.0,260.0,192.0,58.0,55.0
ADRB1,699,452,247,1.0,0.7928571428571428,0.7878787878787878,0.9069767441860465,0.8432432432432433,559.0,140.0,366.0,193.0,86.0,54.0
ADRB1,699,452,247,2.0,0.7928571428571428,0.797979797979798,0.8977272727272727,0.8449197860962567,559.0,140.0,364.0,195.0,88.0,52.0
ADRB1,699,452,247,3.0,0.75,0.826530612244898,0.8181818181818182,0.8223350253807107,559.0,140.0,353.0,206.0,99.0,41.0
ADRB1,699,452,247,4.0,0.8142857142857143,0.8555555555555555,0.8555555555555555,0.8555555555555555,559.0,140.0,362.0,197.0,90.0,50.0
ADRB1,699,452,247,5.0,0.8129496402877698,0.8539325842696629,0.8539325842696629,0.8539325842696629,560.0,139.0,363.0,197.0,89.0,50.0
ADRB2,880,675,205,1.0,0.8522727272727273,0.8689655172413793,0.9473684210526315,0.9064748201438849,704.0,176.0,542.0,162.0,133.0,43.0
ADRB2,880,675,205,2.0,0.8977272727272727,0.9477611940298507,0.9202898550724637,0.9338235294117647,704.0,176.0,537.0,167.0,138.0,38.0
ADRB2,880,675,205,3.0,0.8863636363636364,0.8888888888888888,0.9696969696969697,0.927536231884058,704.0,176.0,543.0,161.0,132.0,44.0
ADRB2,880,675,205,4.0,0.8352272727272727,0.8531468531468531,0.9384615384615385,0.8937728937728938,704.0,176.0,545.0,159.0,130.0,46.0
ADRB2,880,675,205,5.0,0.875,0.9411764705882353,0.9014084507042254,0.920863309352518,704.0,176.0,533.0,171.0,142.0,34.0
CNRIP1,0,0,0,,,,,,,,,,,
CNR2,4843,3188,1655,1.0,0.8328173374613003,0.8465991316931982,0.9126365054602185,0.8783783783783784,3874.0,969.0,2547.0,1327.0,641.0,328.0
CNR2,4843,3188,1655,2.0,0.8183694530443757,0.8365243004418262,0.8973143759873617,0.8658536585365854,3874.0,969.0,2555.0,1319.0,633.0,336.0
CNR2,4843,3188,1655,3.0,0.8183694530443757,0.836764705882353,0.8974763406940063,0.8660578386605784,3874.0,969.0,2554.0,1320.0,634.0,335.0
CNR2,4843,3188,1655,4.0,0.8326446280991735,0.8464912280701754,0.910377358490566,0.8772727272727273,3875.0,968.0,2552.0,1323.0,636.0,332.0
CNR2,4843,3188,1655,5.0,0.8212809917355371,0.8388489208633093,0.90527950310559,0.8707991038088125,3875.0,968.0,2544.0,1331.0,644.0,324.0
CHRM1,1364,695,669,1.0,0.7765567765567766,0.7655172413793103,0.8043478260869565,0.784452296819788,1091.0,273.0,557.0,534.0,138.0,135.0
CHRM1,1364,695,669,2.0,0.8131868131868132,0.7837837837837838,0.8592592592592593,0.8197879858657244,1091.0,273.0,560.0,531.0,135.0,138.0
CHRM1,1364,695,669,3.0,0.8095238095238095,0.8322147651006712,0.8211920529801324,0.8266666666666667,1091.0,273.0,544.0,547.0,151.0,122.0
CHRM1,1364,695,669,4.0,0.7765567765567766,0.7697841726618705,0.7867647058823529,0.7781818181818182,1091.0,273.0,559.0,532.0,136.0,137.0
CHRM1,1364,695,669,5.0,0.7389705882352942,0.7461538461538462,0.7185185185185186,0.7320754716981132,1092.0,272.0,560.0,532.0,135.0,137.0
CHRM2,855,528,327,1.0,0.8128654970760234,0.8673469387755102,0.8173076923076923,0.8415841584158416,684.0,171.0,424.0,260.0,104.0,67.0
CHRM2,855,528,327,2.0,0.8713450292397661,0.8598130841121495,0.9292929292929293,0.8932038834951457,684.0,171.0,429.0,255.0,99.0,72.0
CHRM2,855,528,327,3.0,0.8654970760233918,0.853448275862069,0.9428571428571428,0.8959276018099548,684.0,171.0,423.0,261.0,105.0,66.0
CHRM2,855,528,327,4.0,0.8654970760233918,0.8793103448275862,0.918918918918919,0.8986784140969163,684.0,171.0,417.0,267.0,111.0,60.0
CHRM2,855,528,327,5.0,0.8245614035087719,0.8623853211009175,0.8623853211009175,0.8623853211009175,684.0,171.0,419.0,265.0,109.0,62.0
CHRM3,1302,990,312,1.0,0.8850574712643678,0.910377358490566,0.946078431372549,0.9278846153846154,1041.0,261.0,786.0,255.0,204.0,57.0
CHRM3,1302,990,312,2.0,0.9118773946360154,0.9095477386934674,0.9731182795698925,0.9402597402597402,1041.0,261.0,804.0,237.0,186.0,75.0
CHRM3,1302,990,312,3.0,0.9038461538461539,0.9455445544554455,0.9317073170731708,0.9385749385749386,1042.0,260.0,785.0,257.0,205.0,55.0
CHRM3,1302,990,312,4.0,0.8923076923076924,0.9154929577464789,0.9512195121951219,0.9330143540669856,1042.0,260.0,785.0,257.0,205.0,55.0
CHRM3,1302,990,312,5.0,0.9038461538461539,0.9064039408866995,0.968421052631579,0.9363867684478372,1042.0,260.0,800.0,242.0,190.0,70.0
CHRNA10,0,0,0,,,,,,,,,,,
CHRNA9,0,0,0,,,,,,,,,,,
CHRNA7,1614,831,783,1.0,0.8513931888544891,0.8439306358381503,0.874251497005988,0.8588235294117647,1291.0,323.0,664.0,627.0,167.0,156.0
CHRNA7,1614,831,783,2.0,0.7987616099071208,0.7777777777777778,0.7933333333333333,0.7854785478547854,1291.0,323.0,681.0,610.0,150.0,173.0
CHRNA7,1614,831,783,3.0,0.8018575851393189,0.7988826815642458,0.8362573099415205,0.8171428571428572,1291.0,323.0,660.0,631.0,171.0,152.0
CHRNA7,1614,831,783,4.0,0.8111455108359134,0.8074866310160428,0.8579545454545454,0.8319559228650137,1291.0,323.0,655.0,636.0,176.0,147.0
CHRNA7,1614,831,783,5.0,0.8416149068322981,0.8411764705882353,0.8562874251497006,0.8486646884272997,1292.0,322.0,664.0,628.0,167.0,155.0
CHRNA3,3,1,2,,,,,,,,,,,
CHRNA5,0,0,0,,,,,,,,,,,
SMPDL3A,0,0,0,,,,,,,,,,,
GABPA,0,0,0,,,,,,,,,,,
HRH1,972,597,375,1.0,0.8102564102564103,0.8421052631578947,0.8347826086956521,0.8384279475982532,777.0,195.0,482.0,295.0,115.0,80.0
HRH1,972,597,375,2.0,0.8512820512820513,0.8650793650793651,0.9008264462809917,0.8825910931174089,777.0,195.0,476.0,301.0,121.0,74.0
HRH1,972,597,375,3.0,0.8402061855670103,0.8646616541353384,0.8984375,0.8812260536398467,778.0,194.0,469.0,309.0,128.0,66.0
HRH1,972,597,375,4.0,0.8195876288659794,0.8319327731092437,0.868421052631579,0.8497854077253219,778.0,194.0,483.0,295.0,114.0,80.0
HRH1,972,597,375,5.0,0.845360824742268,0.8503937007874016,0.907563025210084,0.8780487804878049,778.0,194.0,478.0,300.0,119.0,75.0
SLCO1B1,16,0,16,,,,,,,,,,,
SLCO2B3,0,0,0,,,,,,,,,,,
SLCO2B1,33,0,33,,,,,,,,,,,
